Region/Country/Area,,Year,Series,Value,Footnotes,Source
728,South Sudan,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),33.5977,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
724,Spain,2005,Land area (thousand hectares),49909,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
724,Spain,2005,Arable land (thousand hectares),12913,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
724,Spain,2005,Permanent crops (thousand hectares),4931,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
724,Spain,2005,Forest cover (thousand hectares),17282.09,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
724,Spain,2005,Arable land (% of total land area),25.8731,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
724,Spain,2005,Permanent crops (% of total land area),9.88,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
724,Spain,2005,Forest cover (% of total land area),34.6272,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
724,Spain,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),52.7477,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
724,Spain,2010,Land area (thousand hectares),50001,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
724,Spain,2010,Arable land (thousand hectares),12528,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
724,Spain,2010,Permanent crops (thousand hectares),4693,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
724,Spain,2010,Forest cover (thousand hectares),18247.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
724,Spain,2010,Arable land (% of total land area),25.0555,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
724,Spain,2010,Permanent crops (% of total land area),9.3858,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
724,Spain,2010,Forest cover (% of total land area),36.4937,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
724,Spain,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),54.6192,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
