Region/Country/Area,,Year,Series,Value,Footnotes,Source
736,Sudan [former],2010,Arable land (thousand hectares),19877.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
736,Sudan [former],2010,Permanent crops (thousand hectares),141.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
736,Sudan [former],2010,Forest cover (thousand hectares),27239.012,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
736,Sudan [former],2010,Arable land (% of total land area),8.366,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
736,Sudan [former],2010,Permanent crops (% of total land area),0.0596,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
736,Sudan [former],2010,Forest cover (% of total land area),11.4642,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
740,Suriname,2005,Land area (thousand hectares),15600,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
740,Suriname,2005,Arable land (thousand hectares),49,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
740,Suriname,2005,Permanent crops (thousand hectares),6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
740,Suriname,2005,Forest cover (thousand hectares),15371,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
740,Suriname,2005,Arable land (% of total land area),0.3141,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
740,Suriname,2005,Permanent crops (% of total land area),0.0385,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
740,Suriname,2005,Forest cover (% of total land area),98.5321,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
740,Suriname,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),51.1899,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
740,Suriname,2010,Land area (thousand hectares),15600,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
740,Suriname,2010,Arable land (thousand hectares),55,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
740,Suriname,2010,Permanent crops (thousand hectares),6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
740,Suriname,2010,Forest cover (thousand hectares),15351,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
740,Suriname,2010,Arable land (% of total land area),0.3526,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
740,Suriname,2010,Permanent crops (% of total land area),0.0385,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
740,Suriname,2010,Forest cover (% of total land area),98.4038,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
740,Suriname,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),51.1899,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
740,Suriname,2017,Land area (thousand hectares),15600,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
740,Suriname,2017,Arable land (thousand hectares),65,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
740,Suriname,2017,Permanent crops (thousand hectares),6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
740,Suriname,2017,Forest cover (thousand hectares),15332,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
740,Suriname,2017,Arable land (% of total land area),0.4167,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
740,Suriname,2017,Permanent crops (% of total land area),0.0385,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
